"","start_hour","Offense.Parent.Group","n_starts","start_norm","n_reports","report_norm"
"312","10","TRESPASS OF REAL PROPERTY",2658,0.72881820674527,2864,0.930172133809678
"313","10","WEAPON LAW VIOLATIONS",914,0.793402777777778,933,0.865491651205937
"314","11","ANIMAL CRUELTY",6,0.214285714285714,9,0.529411764705882
"315","11","ARSON",153,0.732057416267943,151,0.834254143646409
"316","11","ASSAULT OFFENSES",13350,0.737854418836014,13282,0.908481532147743
"317","11","BAD CHECKS",313,0.119877441593259,542,0.726541554959786
"318","11","BRIBERY",2,0.666666666666667,2,0.666666666666667
"319","11","BURGLARY/BREAKING&ENTERING",8096,0.493538161424043,9079,0.804804538604734
"320","11","COUNTERFEITING/FORGERY",304,0.195247270391779,428,0.765652951699463
"321","11","CURFEW/LOITERING/VAGRANCY VIOLATIONS",98,0.765625,95,0.736434108527132
"322","11","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",8165,0.665010588043655,8587,0.896346555323591
"323","11","DRIVING UNDER THE INFLUENCE",1967,0.702750982493748,1778,0.654639175257732
"324","11","DRUG/NARCOTIC OFFENSES",2637,0.878121878121878,2535,0.876253024541998
"325","11","DRUNKENNESS",1,0.2,1,0.25
"326","11","EMBEZZLEMENT",103,0.154191616766467,140,0.645161290322581
"327","11","EXTORTION/BLACKMAIL",78,0.348214285714286,86,1
"328","11","FAMILY OFFENSES, NONVIOLENT",850,0.544174135723432,917,0.930020283975659
"329","11","FRAUD OFFENSES",3372,0.169396161961218,5465,0.954251789767767
"330","11","GAMBLING OFFENSES",3,0.6,4,1
"331","11","HOMICIDE OFFENSES",44,0.55,51,0.962264150943396
"332","11","HUMAN TRAFFICKING",4,0.2,4,0.666666666666667
"333","11","KIDNAPPING/ABDUCTION",122,0.535087719298246,108,0.837209302325581
"334","11","LARCENY-THEFT",33066,0.682406356413167,33866,0.86847031670727
"335","11","LIQUOR LAW VIOLATIONS",286,0.931596091205212,251,0.883802816901408
"336","11","MOTOR VEHICLE THEFT",5516,0.745506149479659,5351,0.734422179522372
"337","11","PEEPING TOM",18,0.514285714285714,18,0.782608695652174
"338","11","PORNOGRAPHY/OBSCENE MATERIAL",27,0.216,27,0.58695652173913
"339","11","PROSTITUTION OFFENSES",483,0.761829652996845,495,0.853448275862069
"340","11","ROBBERY",2127,0.90587734241908,2108,0.972324723247233
"341","11","SEX OFFENSES",523,0.356509884117246,534,0.848966613672496
"342","11","SEX OFFENSES, CONSENSUAL",12,0.181818181818182,10,0.454545454545455
"343","11","STOLEN PROPERTY OFFENSES",524,0.661616161616162,557,0.914614121510673
"344","11","TRESPASS OF REAL PROPERTY",2786,0.763915547024952,2677,0.869438129262748
"345","11","WEAPON LAW VIOLATIONS",926,0.803819444444444,902,0.836734693877551
"346","12","ANIMAL CRUELTY",28,1,8,0.470588235294118
"347","12","ARSON",209,1,179,0.988950276243094
"348","12","ASSAULT OFFENSES",18093,1,13550,0.926812585499316
"349","12","BAD CHECKS",2611,1,746,1
