"","MCPP","year","n"
"586","MOUNT BAKER","2015",867
"587","MOUNT BAKER","2016",937
"588","MOUNT BAKER","2017",819
"589","MOUNT BAKER","2018",1107
"590","MOUNT BAKER","2019",935
"591","MOUNT BAKER","2020",1176
"592","MOUNT BAKER","2021",1270
"593","MOUNT BAKER","2022",1250
"594","MOUNT BAKER","2023",148
"595","NEW HOLLY","2008",491
"596","NEW HOLLY","2009",493
"597","NEW HOLLY","2010",454
"598","NEW HOLLY","2011",431
"599","NEW HOLLY","2012",457
"600","NEW HOLLY","2013",476
"601","NEW HOLLY","2014",465
"602","NEW HOLLY","2015",402
"603","NEW HOLLY","2016",357
"604","NEW HOLLY","2017",377
"605","NEW HOLLY","2018",355
"606","NEW HOLLY","2019",362
"607","NEW HOLLY","2020",354
"608","NEW HOLLY","2021",342
"609","NEW HOLLY","2022",494
"610","NEW HOLLY","2023",55
"611","NORTH ADMIRAL","2008",673
"612","NORTH ADMIRAL","2009",715
"613","NORTH ADMIRAL","2010",709
"614","NORTH ADMIRAL","2011",629
"615","NORTH ADMIRAL","2012",594
"616","NORTH ADMIRAL","2013",598
"617","NORTH ADMIRAL","2014",593
"618","NORTH ADMIRAL","2015",546
"619","NORTH ADMIRAL","2016",669
"620","NORTH ADMIRAL","2017",708
"621","NORTH ADMIRAL","2018",709
"622","NORTH ADMIRAL","2019",625
"623","NORTH ADMIRAL","2020",822
"624","NORTH ADMIRAL","2021",574
"625","NORTH ADMIRAL","2022",776
"626","NORTH ADMIRAL","2023",93
"627","NORTH BEACON HILL","2008",1379
"628","NORTH BEACON HILL","2009",1414
"629","NORTH BEACON HILL","2010",1198
"630","NORTH BEACON HILL","2011",1186
"631","NORTH BEACON HILL","2012",1046
"632","NORTH BEACON HILL","2013",1184
"633","NORTH BEACON HILL","2014",1170
"634","NORTH BEACON HILL","2015",1009
"635","NORTH BEACON HILL","2016",1086
"636","NORTH BEACON HILL","2017",969
"637","NORTH BEACON HILL","2018",1197
"638","NORTH BEACON HILL","2019",1234
"639","NORTH BEACON HILL","2020",1327
"640","NORTH BEACON HILL","2021",1321
"641","NORTH BEACON HILL","2022",1480
"642","NORTH BEACON HILL","2023",175
"643","NORTH DELRIDGE","2008",555
"644","NORTH DELRIDGE","2009",484
"645","NORTH DELRIDGE","2010",507
"646","NORTH DELRIDGE","2011",535
"647","NORTH DELRIDGE","2012",509
"648","NORTH DELRIDGE","2013",479
"649","NORTH DELRIDGE","2014",407
"650","NORTH DELRIDGE","2015",437
"651","NORTH DELRIDGE","2016",591
"652","NORTH DELRIDGE","2017",545
"653","NORTH DELRIDGE","2018",522
"654","NORTH DELRIDGE","2019",517
"655","NORTH DELRIDGE","2020",557
"656","NORTH DELRIDGE","2021",620
"657","NORTH DELRIDGE","2022",641
"658","NORTH DELRIDGE","2023",58
"659","NORTHGATE","2008",3134
"660","NORTHGATE","2009",3304
"661","NORTHGATE","2010",3329
"662","NORTHGATE","2011",3377
"663","NORTHGATE","2012",3149
"664","NORTHGATE","2013",3625
"665","NORTHGATE","2014",4068
"666","NORTHGATE","2015",4392
"667","NORTHGATE","2016",4391
"668","NORTHGATE","2017",4745
"669","NORTHGATE","2018",4473
"670","NORTHGATE","2019",3957
"671","NORTHGATE","2020",3998
"672","NORTHGATE","2021",4253
"673","NORTHGATE","2022",4084
"674","NORTHGATE","2023",482
"675","PHINNEY RIDGE","2008",510
"676","PHINNEY RIDGE","2009",576
"677","PHINNEY RIDGE","2010",574
"678","PHINNEY RIDGE","2011",489
"679","PHINNEY RIDGE","2012",531
"680","PHINNEY RIDGE","2013",525
"681","PHINNEY RIDGE","2014",581
"682","PHINNEY RIDGE","2015",510
"683","PHINNEY RIDGE","2016",588
"684","PHINNEY RIDGE","2017",615
"685","PHINNEY RIDGE","2018",594
"686","PHINNEY RIDGE","2019",514
"687","PHINNEY RIDGE","2020",825
"688","PHINNEY RIDGE","2021",621
"689","PHINNEY RIDGE","2022",480
"690","PHINNEY RIDGE","2023",54
"691","PIGEON POINT","2008",97
"692","PIGEON POINT","2009",94
"693","PIGEON POINT","2010",102
"694","PIGEON POINT","2011",82
"695","PIGEON POINT","2012",93
"696","PIGEON POINT","2013",88
"697","PIGEON POINT","2014",62
"698","PIGEON POINT","2015",51
